,repo_full_name,num_commits,num_contributors,age_months,start_analysis_date,end_analysis_date,last_commit_hash,num_stars,num_forks,iac_total_blocks,iac_total_depth,iac_total_loc,iac_total_nloc,iac_file_ratio,tf_file_ratio_percent,tf_file_count,total_file_count,monthly_commit_frequency
29,ministryofjustice/cloud-platform-infrastructure,5429,76,76,2018-02-23T15:05:42+00:00,2024-05-31T13:46:25+01:00,b3b2ca901c2d85435b9de104155ba27be20e4018,63.0,28.0,522,7608,6676,1031,0.5657142857142857,0.52,91,175,71.4342105263158
30,Azure/az-hop,4132,42,43,2020-11-18T01:45:08+01:00,2024-05-30T11:55:01+02:00,8debaa15a7ba17f68c330cbb0c6a2622c480bcd4,67.0,56.0,313,5366,4599,807,0.5506172839506173,0.0962962962962963,39,405,96.09302325581396
31,aws-ia/terraform-aws-eks-blueprints,1407,179,38,2021-04-06T17:00:00-07:00,2024-05-31T07:58:26-04:00,464ce32c7641e24bac963d1c1e58409b3a4f4431,2896.0,1476.0,602,8784,7373,1457,0.9542857142857144,0.72,126,175,37.026315789473685
32,pingcap/tidb-operator,2196,178,70,2018-08-08T16:39:14+08:00,2024-05-28T17:18:32+08:00,ab875aa8d8e0fdf95cf619e7e122c944e5eadb84,,,492,3858,3658,263,0.2939189189189189,0.0692567567567567,82,1184,30.92957746478873
33,terraform-aws-modules/terraform-aws-eks,1055,368,72,2018-06-06T20:55:23-07:00,2024-05-31T17:01:45+00:00,a7ff103478c40e0e1e58b151444e9e91ab0be07a,,,948,8892,7720,1187,0.6739130434782609,0.6630434782608695,61,92,14.452054794520548
34,magma/magma,12139,355,64,2019-02-23T10:20:15-08:00,2024-05-30T16:37:39+05:30,7b15518d52e12168551f6aa4abdd190738c08766,1747.0,617.0,428,3511,3190,335,0.1262458471760797,0.0053986710963455,39,7224,189.671875
35,RhinoSecurityLabs/cloudgoat,418,64,71,2018-07-16T20:21:08-04:00,2024-05-31T16:26:12-05:00,6ee984ff1674d9213ff02f810725c170b3116749,3242.0,682.0,823,8376,7906,495,0.5302197802197802,0.4725274725274725,172,364,5.805555555555555
36,GoogleCloudPlatform/cloud-foundation-fabric,5395,251,61,2019-05-03T17:58:36-04:00,2024-05-31T20:07:59+02:00,f9a433825fd0968299f2c7896ff5dcd89a27d9d1,1703.0,1014.0,4657,70037,68384,1991,0.9030339083878643,0.5669244497323022,953,1681,87.01612903225806
38,splunk/attack_range,1924,58,61,2019-05-03T22:46:46-04:00,2024-05-04T22:51:12-04:00,b7c610026071989a9b5c21f1baa4407995a8de9b,2300.0,379.0,203,1804,1622,188,0.8217522658610272,0.1178247734138972,39,331,31.540983606557376
40,SUSE/ha-sap-terraform-deployments,2269,41,68,2018-10-25T14:43:40+02:00,2023-11-08T11:39:55+01:00,d27d45e6a36c4ced8e5134ecb3f9eab13a4fc908,127.0,87.0,2458,18454,17567,1014,0.6416938110749185,0.6319218241042345,194,307,37.19672131147541
41,terraform-aws-modules/terraform-aws-iam,369,117,80,2017-10-26T10:13:55+02:00,2024-05-15T09:08:33+00:00,de95e21a3bc51cd3a44b3b95a4c2f61000649ebb,828.0,1043.0,849,7253,6304,962,0.9891891891891892,0.9837837837837838,182,185,4.6125
42,jenkins-x/terraform-aws-eks-jx,220,40,51,2020-03-06T14:25:56+01:00,2024-05-13T15:11:43+02:00,22981dcb6a5bef7f2a536973f7db248715e9d578,63.0,43.0,571,3757,3645,102,0.9,0.8375,67,80,4.313725490196078
43,GoogleCloudPlatform/terraform-google-cloud-run,184,23,36,2021-06-27T22:20:44+05:30,2024-05-21T14:42:39+00:00,b59b700a7a5d3c15847036792db88df7eb9503db,170.0,112.0,516,4134,3934,207,0.9166666666666666,0.8690476190476191,73,84,5.257142857142857
44,Azure/Avere,3340,41,70,2018-08-03T09:23:29-07:00,2024-02-07T16:03:25-05:00,2bf32ca165c4fc437acf54776ec180f02748be2e,70.0,32.0,2780,26814,23428,1815,0.3244325767690253,0.3030707610146863,227,749,49.85074626865672
46,pluralsh/plural-artifacts,1845,53,39,2021-03-11T14:13:43-05:00,2024-05-30T08:28:17-04:00,a56c4c6d8a3ad22f04714a1ac88309405d7d6a47,49.0,36.0,1851,13757,12764,1005,0.8395196506550219,0.1713973799126637,628,3664,47.30769230769231
47,CDCgov/prime-simplereport,4482,77,45,2020-09-28T11:22:47-07:00,2024-05-31T16:14:07+00:00,e092e5ed84d6ea7b643d2ea96067548d6350bf22,60.0,64.0,1625,12691,11723,990,0.1685459940652819,0.1400593471810089,236,1685,99.6
48,Worklytics/psoxy,2127,11,33,2021-09-21T12:07:19-07:00,2024-05-22T10:17:49-07:00,ba3d6a2babcac65a959a91ced6e55740f0eeed31,13.0,6.0,1983,16861,14766,2322,0.449725776965265,0.3473491773308958,190,547,66.46875
